sampling_rate,delta,starttime,endtime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slon,slat,selv,back_azimuth,azimuth,repi,rhyp,p_time,s_time,wstart,wend,lower-f-bound,upper-f-bound,pass_snr,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,aic,bic,chisqr,redchi,pass_fitting
40.0,0.025,2012-10-08T12:14:56.355000Z,2012-10-08T12:15:17.930000Z,864,IW,SMCO,,BHT,"AttribDict({'dataquality': 'M', 'number_of_records': 16, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 8192})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-106.9739,39.1776,3435.0,251.534167562,67.6707279313,582.009605321,582.018989132,2012-10-08T12:13:51.407286Z,2012-10-08T12:15:04.447017Z,2012-10-08T12:14:57.343044Z,2012-10-08T12:15:16.918044Z,0.758972949729,19.6713559293,True,-4.76831534078,1.76411790055,0.0395941521024,0.0801538358969,0.0426433611201,0.0148977041993,-28.9931651682,-23.8524489681,17.4629279893,0.45955073656,True
100.0,0.01,2012-10-08T12:12:58.055000Z,2012-10-08T12:13:19.675000Z,2163,NN,PRN,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 44, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 22528})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-115.0512,37.4065,1464.0,91.7177818196,272.83677682,163.378650129,163.384096147,2012-10-08T12:12:40.452220Z,2012-10-08T12:13:00.955899Z,2012-10-08T12:12:59.055531Z,2012-10-08T12:13:18.675531Z,1.14005892151,23.1480651723,True,-7.66146392405,0.0321472635905,3.87029882941,0.40023665524,0.0467758163824,0.00334312510132,-181.762111454,-176.849352975,0.271573614488,0.00775924612823,True
100.0,0.01,2012-10-08T12:13:07.545000Z,2012-10-08T12:13:28.915000Z,2138,NN,SHP,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 41, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 20992})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-115.1567,36.5047,1632.0,61.0916993696,242.262559043,197.233970365,197.239689388,2012-10-08T12:12:46.190456Z,2012-10-08T12:13:10.942799Z,2012-10-08T12:13:08.547565Z,2012-10-08T12:13:27.917565Z,1.7124909985,18.1340202564,True,-8.18535863812,0.0499113696175,4.73192918811,0.954879003161,0.053247412038,0.0076874512849,-124.490624432,-120.287032287,0.387325405022,0.0143453853712,True
100.0,0.01,2012-10-08T12:12:19.915000Z,2012-10-08T12:12:40.905000Z,2100,UU,CCUT,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 44, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 22528})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-113.362701,37.550598,2127.0,148.620736817,328.71480436,26.3245434244,26.4001817324,2012-10-08T12:12:17.234607Z,2012-10-08T12:12:20.547664Z,2012-10-08T12:12:20.916358Z,2012-10-08T12:12:39.906358Z,0.505272076339,44.3850073566,True,-7.36901720883,0.0468650831015,5.7412194027,1.17371902679,0.00619403978075,0.00391605586221,-182.497313214,-176.475313658,1.7862336708,0.0343506475155,True
100.0,0.01,2012-10-08T12:13:16.043000Z,2012-10-08T12:13:36.823000Z,2079,UU,HMU,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 34, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 17408})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-110.7418,37.938,2430.0,254.011437034,72.5050645803,227.286991011,227.298627983,2012-10-08T12:12:51.285191Z,2012-10-08T12:13:19.809743Z,2012-10-08T12:13:17.047288Z,2012-10-08T12:13:35.827288Z,2.37131417418,18.1340202564,True,-7.09916996607,0.215544532643,2.07731804912,0.739995601139,0.0495560672154,0.00615114878619,-111.889669163,-108.115379549,0.279117760176,0.0121355547903,True
100.0,0.01,2012-10-08T12:12:26.510000Z,2012-10-08T12:12:47.510000Z,2101,UU,KNB,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 44, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 22528})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-112.822,37.0166,1715.0,317.133816008,136.900534202,50.2748299173,50.29980863,2012-10-08T12:12:21.285391Z,2012-10-08T12:12:27.597702Z,2012-10-08T12:12:27.506470Z,2012-10-08T12:12:46.506470Z,0.644979479868,44.3850073566,True,-7.52047511041,0.024802976107,5.31036030318,0.448378362382,0.00826263290567,0.00168114185258,-239.45353038,-233.542654639,0.51638288015,0.010327657603,True
100.0,0.01,2012-10-08T12:12:22.500000Z,2012-10-08T12:12:43.950000Z,2146,UU,LCMT,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 46, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 23552})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-113.2439,37.0118,1411.0,4.87273160975,184.894426779,37.4477620393,37.4696656344,2012-10-08T12:12:19.110791Z,2012-10-08T12:12:23.812999Z,2012-10-08T12:12:23.502778Z,2012-10-08T12:12:42.952778Z,2.18599365612,44.3850073566,True,-7.16481882913,0.0352056763268,15.0200463743,3.42503154965,0.0122765260824,0.00382400426057,-148.022105016,-143.109346537,0.659926291218,0.0188550368919,True
100.0,0.01,2012-10-08T12:12:45.448300Z,2012-10-08T12:13:04.528300Z,1909,UU,MTPU,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 35, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 17920})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-112.1843,38.0415,3112.0,229.864967808,49.2389998323,118.641524082,118.678993763,2012-10-08T12:12:32.875084Z,2012-10-08T12:12:47.768553Z,2012-10-08T12:12:46.449206Z,2012-10-08T12:13:03.529206Z,2.37131417418,21.3390212774,True,-7.95512952655,0.0398495614946,19.4818079649,8.12734178719,0.0591741574043,0.00804736552697,-138.256530217,-134.259916687,0.162055821465,0.0064822328586,True
100.0,0.01,2012-10-08T12:12:34.580000Z,2012-10-08T12:12:55.710000Z,2114,UU,PKCU,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 45, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 23040})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-112.311,37.4439,2834.0,262.640246369,82.0954733681,80.137182091,80.1827884866,2012-10-08T12:12:26.350303Z,2012-10-08T12:12:36.412740Z,2012-10-08T12:12:35.576496Z,2012-10-08T12:12:54.706496Z,1.23670893207,25.1104731682,True,-7.37632121013,0.0476383826326,6.11559759611,1.26500796038,0.0332714973784,0.00651505807002,-132.520265528,-127.607507048,0.99234546061,0.028352727446,True
100.0,0.01,2012-10-08T12:12:53.668300Z,2012-10-08T12:13:12.678300Z,1902,UU,PSUT,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 35, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 17920})",PICKLE,-0.13,-113.208,37.348,2012-10-08T12:12:12.760000Z,-113.8547,38.5337,1999.0,156.438988404,336.836634352,143.358578027,143.370760809,2012-10-08T12:12:37.060129Z,2012-10-08T12:12:55.052260Z,2012-10-08T12:12:54.673047Z,2012-10-08T12:13:11.683047Z,1.23670893207,23.1480651723,True,-7.97556523599,0.0449524563635,3.80547403277,0.558724554989,0.0220718149832,0.0044719934051,-163.438737465,-158.605983727,0.379649270719,0.0111661550211,True
